symbol,day,pnl,win,tt,near_high,pocket,dryup,dist25,rs_newhi,mkt_a10,mkt_a21,mkt_dist25
HOOD.US,2025-11-10,-0.1381911764705864,0,8,-14.49560540469631,0,0,1,0,0,0,2
HOOD.US,2025-11-11,-0.9067526713943422,0,8,-10.87498360225634,0,0,1,0,1,1,2
HOOD.US,2025-11-14,-1.0304525523277628,0,6,-20.287288469106656,0,0,1,0,0,0,2
HOOD.US,2025-11-19,2.3743457559589056,1,6,-25.02951593860685,0,0,1,0,0,0,2
HOOD.US,2025-11-21,-0.7896854764107194,0,6,-30.335825790371253,0,0,1,0,0,0,3
HOOD.US,2025-11-25,-0.0672938835539456,0,6,-24.590056408238226,0,0,1,0,1,0,3
HOOD.US,2025-11-26,-0.1356870080274412,0,6,-24.196510560146933,0,0,1,0,1,1,3
HOOD.US,2025-12-01,-0.1472276264591401,0,6,-15.722156631247541,0,1,1,0,1,1,3
HOOD.US,2025-12-04,-0.1010134888807711,0,8,-12.344221435130542,0,0,1,0,1,1,3
HOOD.US,2025-12-10,0.0237311891413453,1,8,-10.986488259215532,0,1,1,0,1,1,3
HOOD.US,2025-12-22,-0.0622502757690855,0,6,-20.405352223534045,0,0,1,0,1,1,2
HOOD.US,2026-01-09,-0.6480018000719201,0,6,-24.314574314574322,0,0,1,0,1,1,0
HOOD.US,2026-01-12,-0.3383336161547562,0,6,-24.393283484192587,0,0,1,0,1,1,0
HOOD.US,2026-01-13,1.3129470530449794,1,6,-22.917486553850196,0,0,1,0,1,1,0
HOOD.US,2026-01-14,0.6396003365587,1,6,-21.133412042502965,0,0,1,0,1,1,0
HOOD.US,2026-01-21,-0.1913453379843407,0,5,-30.61786698150335,0,0,2,0,0,0,1
HOOD.US,2026-02-06,0.0466400773507363,1,3,-52.32847960120688,0,0,6,0,0,0,5
HOOD.US,2026-02-10,-0.8004897364339184,0,3,-43.224452315361404,0,0,6,0,0,0,5
HOOD.US,2026-02-11,2.3572437179673447,1,3,-43.8541256723075,0,0,6,0,0,0,5
HOOD.US,2026-02-13,-0.9716930781663776,0,3,-53.351698806244265,0,0,8,0,0,0,6
HOOD.US,2026-02-19,1.4765063299362535,1,3,-50.66902794175523,0,1,8,0,0,0,6
HOOD.US,2026-02-25,0.0920111082407665,1,3,-51.86278368096551,0,1,6,0,1,0,6
HOOD.US,2026-03-03,-1.10250213639271,0,3,-48.32743014561196,0,0,6,0,0,0,6
HOOD.US,2026-03-04,-0.3953027456209619,0,3,-50.10494555949102,0,0,6,0,0,0,7
HOOD.US,2026-03-09,1.5087904703426287,1,3,-49.435917617735804,0,0,6,0,0,0,8
HOOD.US,2026-03-11,0.026268599771086,1,3,-48.49140758231667,0,1,5,0,1,0,8
HOOD.US,2026-03-12,-0.1811335607452057,0,3,-48.38646202282566,0,0,4,0,1,0,7
HOOD.US,2026-03-24,-0.9846539925273946,0,3,-52.45310245310246,0,0,0,0,0,0,4
HOOD.US,2026-03-26,-0.1067978406023605,0,3,-52.42030696576151,0,0,0,0,0,0,4
HOOD.US,2026-03-31,0.1233738074587903,1,3,-57.26092089728454,0,0,0,0,0,0,4
HOOD.US,2026-04-07,1.1627915425416115,1,3,-54.23061786698151,0,0,0,0,1,1,3
HOOD.US,2026-04-20,0.8059254143646494,1,3,-40.476190476190474,0,0,1,0,1,1,0
HOOD.US,2026-04-22,0.051828163912168,1,3,-43.30972058244785,0,0,1,0,1,1,0
HOOD.US,2026-04-27,-0.5689054685666721,0,2,-44.43788534697626,0,1,1,0,1,1,0
HOOD.US,2026-04-28,-0.5482389938568726,0,2,-44.93637675455857,0,1,1,0,1,1,0
HOOD.US,2026-04-29,0.4154084944264088,1,2,-46.169487078578,0,0,1,0,1,1,0
EOSE.US,2025-02-10,0.3215613382899728,1,8,-13.89337641357028,0,1,0,0,0,1,1
EOSE.US,2025-03-07,-0.6976241900647996,0,6,-26.817447495961233,0,0,1,0,0,0,5
EOSE.US,2025-03-12,-0.8939686369119114,0,6,-36.187399030694664,0,1,1,0,0,0,7
EOSE.US,2025-03-14,-2.2123798076922885,0,6,-36.187399030694664,0,1,1,0,0,0,7
EOSE.US,2025-03-18,-0.5351941747572846,0,6,-32.79483037156704,0,1,1,0,0,0,7
EOSE.US,2025-03-20,-1.7364454443194617,0,6,-28.271405492730207,0,0,0,0,0,0,7
EOSE.US,2025-04-25,5.044291539245664,1,7,-21.16316639741519,0,0,3,0,1,1,4
EOSE.US,2025-04-29,-0.2340699815837814,0,8,-11.47011308562197,1,0,3,1,1,1,4
EOSE.US,2025-05-14,-2.433200867052024,0,8,0.0,1,0,2,0,1,1,2
EOSE.US,2025-05-15,-4.226183844011132,0,8,0.0,0,0,1,0,1,1,1
EOSE.US,2025-06-05,-0.55736040609137,0,4,-46.55414908579466,0,0,4,0,1,1,0
EOSE.US,2025-07-24,-4.824191063174112,0,8,-12.23628691983123,1,0,1,0,1,1,0
EOSE.US,2025-08-13,2.2069354838709643,1,8,-14.064697609001408,0,0,1,0,1,1,2
EOSE.US,2025-08-21,0.4505843071786248,1,7,-15.75246132208158,0,1,1,0,0,0,3
EOSE.US,2025-08-27,1.5184022824536518,1,8,-2.6722925457102753,1,0,1,1,1,1,3
EOSE.US,2025-09-18,5.075641025641013,1,8,0.0,0,0,0,1,1,1,2
EOSE.US,2025-09-23,-3.960257633587783,0,8,0.0,1,0,0,1,1,1,2
