ticker,src,shade,z
BAND,recent,浅,3.9719679629349227
BAND,recent,浅,1.7530086619402474
BAND,recent,浅,1.7672809207110076
BAND,recent,亮蓝,2.1028105865198503
BAND,recent,亮蓝,2.2356123187505306
BAND,recent,亮蓝,2.26648667200779
BAND,extrema,亮红,-0.6087302770381467
BAND,extrema,浅蓝,0.9260719851217403
BAND,extrema,浅红,-1.2186561271036616
BAND,extrema,深蓝,-0.5302018933046171
BAND,extrema,浅,-1.0943352741444627
BAND,extrema,深蓝,-0.6597258665940571
BAND,extrema,浅红,-2.6784046779355286
BAND,extrema,亮蓝,2.3829223343882706
BAND,extrema,浅,0.9506797256633707
BAND,extrema,深蓝,1.4350579808166886
BAND,extrema,浅,-1.0140910836189618
BAND,extrema,深蓝,2.4850061119187434
BB,gmax,亮蓝,4.312860343882803
BB,gmin,深红,-1.8747228015997635
BB,recent,亮红,3.0276636020854766
BB,recent,深蓝,3.396888010039864
BB,recent,深蓝,3.8214280016391178
BB,recent,深蓝,4.221739163745899
BB,recent,亮红,4.310174217012993
BB,recent,亮红,4.312860343882803
BB,recent,深蓝,3.87317456533967
BB,recent,深蓝,3.6160223025676057
BB,recent,亮蓝,3.4780866283166927
BB,recent,亮蓝,3.0199812011043656
BB,recent,亮蓝,2.2637958849436917
BB,recent,亮红,1.5604596281641467
BB,recent,亮蓝,0.9200015574076503
BB,recent,亮蓝,0.8268643498955333
BB,recent,亮红,1.0419911817069707
BB,recent,深蓝,1.1444508360417336
BB,recent,亮蓝,1.1640376384685873
BB,recent,亮蓝,1.1751109253798946
BB,recent,浅红,1.287877167460177
BB,recent,浅红,1.3075660660098556
BB,recent,亮蓝,1.1895420624468551
BB,recent,浅红,1.3270909058637912
BB,recent,浅红,1.2417448483622904
BB,recent,亮蓝,1.1912831098901835
BB,recent,亮蓝,1.4386832611532445
BB,recent,亮蓝,2.164715275675645
BB,recent,浅红,2.947648034557459
BB,recent,浅红,3.0991741308212926
BB,recent,深蓝,3.142588265488333
BB,extrema,浅红,-1.2235519955090965
BB,extrema,亮蓝,-0.03459866707638849
BB,extrema,浅红,-1.8747228015997635
BB,extrema,浅蓝,3.3711038347047566
BB,extrema,深红,0.8268643498955333
BB,extrema,浅蓝,4.312860343882803
BE,gmax,亮蓝,0.6142702022286157
BE,gmin,深红,-2.3020081604150224
BE,recent,亮蓝,-0.530848000482552
BE,recent,亮蓝,-0.4773566085528811
BE,recent,亮蓝,-0.4457350737151735
BE,recent,亮蓝,-0.4983965991151931
BE,recent,亮蓝,-0.6279786242141069
BE,recent,亮蓝,-0.695777582608241
BE,recent,亮蓝,-0.8726496669537508
BE,recent,亮蓝,-0.8345042245618959
BE,recent,浅,-0.933157547274233
BE,recent,浅,-0.7182840191155027
BE,recent,亮蓝,-0.5428007340364944
BE,recent,亮蓝,-0.322473324371152
BE,recent,亮蓝,-0.2041325028672407
BE,recent,亮蓝,-0.2797658459393716
BE,recent,浅,-0.2640078661529017
BE,recent,浅蓝,-0.18560183937738556
BE,recent,浅蓝,0.005059896169962966
BE,recent,浅蓝,0.1503761521702508
BE,recent,浅,0.08838477077160231
BE,recent,浅,0.08266660259248988
BE,recent,浅蓝,0.14317315222667124
BE,recent,浅蓝,0.2519831291903116
BE,recent,浅蓝,0.41019276430596185
BE,recent,浅蓝,0.6026272981842129
BE,recent,浅蓝,0.6142702022286157
BE,recent,浅红,0.47371034040828286
BE,recent,浅红,0.30645518467850663
BE,recent,浅红,0.016808766545047368
BE,recent,浅,-0.19764685106359403
BE,recent,浅红,-0.42064836001134254
BE,recent,浅红,-0.3522383284521355
BE,recent,浅,-0.3090773339873561
BE,extrema,浅红,-1.60578537737228
BE,extrema,深蓝,-0.021728020993284778
BE,extrema,深红,-1.3181354005721615
BE,extrema,浅蓝,0.025869997024163264
BE,extrema,浅红,-0.467114539479375
BE,extrema,浅蓝,0.22308425568438728
BE,extrema,浅红,-2.3020081604150224
BE,extrema,亮蓝,0.6142702022286157
BE,extrema,浅红,-0.933157547274233
CIEN,gmax,亮蓝,3.3965284681661414
CIEN,gmin,浅红,-1.1229954463417406
CIEN,recent,亮蓝,-0.8468726003395638
CIEN,recent,亮蓝,-0.6914848160695332
CIEN,recent,亮蓝,-0.5399544748658168
CIEN,recent,亮蓝,-0.4951894859536436
