symbol,strategy,filled,phantom_rate_pct,win_rate,pf,cum_pct,max_dd,avg_pnl,recency_avg_pnl,recency_win_rate,recency_pf,last_90d_n,last_90d_win,last_90d_pf,last_90d_cum_pct,last_180d_n,last_180d_win,last_180d_pf,last_180d_cum_pct,n_tp,n_stop,composite_score,passes_filter,filter_fail_reasons
PLTR.US,ST_10_3,77,0.0,44.2,1.12,2.45,-6.72,0.035,0.097,47.4,1.42,2,50.0,0.57,-0.03,17,52.9,1.59,1.99,11,24,0.091,True,
NBIS.US,ORB5_Z,163,0.0,30.7,1.09,9.4,-42.1,0.108,0.584,38.2,1.64,36,50.0,2.69,49.97,61,37.7,1.54,32.07,3,107,0.471,True,
NBIS.US,ORB15_VWAP,26,81.3,42.3,1.37,9.3,-14.57,0.401,-0.611,28.7,0.52,8,25.0,0.54,-5.02,10,30.0,0.49,-6.47,4,9,-0.419,False,近期PF<1.1|近半年PF<1.0
NBIS.US,VWAP_PB,35,42.6,28.6,0.49,-16.06,-18.99,-0.487,0.081,37.8,1.12,7,42.9,1.48,2.07,10,40.0,1.32,2.02,5,23,0.004,True,
NBIS.US,VWAP_MR,227,0.0,51.5,1.0,-2.34,-28.33,0.001,0.038,55.8,1.07,35,65.7,1.63,9.47,73,52.1,0.82,-9.35,75,68,-0.019,False,近期PF<1.1|近半年PF<1.0
NBIS.US,EMA_X,160,0.0,46.9,0.96,-7.12,-23.16,-0.031,-0.221,43.2,0.69,27,51.9,0.83,-2.94,47,38.3,0.47,-19.38,45,67,-0.24,False,近期PF<1.1|近半年PF<1.0
NBIS.US,DC20,117,42.1,51.3,0.98,-2.08,-15.75,-0.01,0.01,50.4,1.02,26,57.7,1.53,6.07,51,47.1,0.78,-6.63,10,43,-0.036,False,近期PF<1.1|近半年PF<1.0
NBIS.US,TTM_SQ,258,0.0,41.1,0.97,-9.47,-27.82,-0.024,-0.187,37.9,0.73,43,37.2,0.62,-11.78,87,34.5,0.62,-22.92,44,119,-0.177,False,近期PF<1.1|近半年PF<1.0
NBIS.US,ST_10_3,90,0.0,46.7,0.93,-4.13,-18.1,-0.039,0.01,52.3,1.02,22,63.6,1.61,4.68,35,51.4,0.93,-1.55,16,38,-0.016,False,近期PF<1.1|近半年PF<1.0
AMZN.US,ORB5_Z,158,0.0,34.8,1.07,3.29,-16.67,0.026,0.075,38.7,1.21,29,41.4,1.49,4.86,49,36.7,1.12,2.09,0,93,0.055,True,
AMZN.US,ORB15_VWAP,24,84.5,45.8,1.31,1.48,-2.25,0.063,0.152,46.2,2.22,2,50.0,0.46,-0.23,8,37.5,2.69,1.37,1,0,0.14,True,
