symbol,model,day,is_gap,entry,exit,result,pnl_pct
IREN.US,C_MARKET,2026-03-09,True,37.43607000000001,38.82058000000001,CUTOFF,3.69833158234825
IREN.US,C_MARKET,2026-03-11,True,41.4170325,41.95901,CUTOFF,1.3085860267753406
IREN.US,C_MARKET,2026-03-12,False,41.322891500000004,41.349315,EOD,0.06394397642767284
IREN.US,C_MARKET,2026-03-16,False,44.737005,44.91753,CUTOFF,0.403525001282486
IREN.US,C_MARKET,2026-03-19,False,41.05148500000001,41.63917,CUTOFF,1.4315803679209005
IREN.US,C_MARKET,2026-03-31,False,33.08956,34.240871000000006,TP,3.479378390042077
IREN.US,C_MARKET,2026-04-02,True,34.5247095,34.752615000000006,CUTOFF,0.660122860700698
IREN.US,C_MARKET,2026-04-07,False,34.81214,35.72213000000001,CUTOFF,2.614001897039388
IREN.US,C_MARKET,2026-04-10,True,39.469115,39.300340000000006,CUTOFF,-0.42761283094388247
IREN.US,C_MARKET,2026-04-13,False,39.579280000000004,41.91903000000001,TP,5.911552711418707
IREN.US,C_MARKET,2026-04-14,True,47.0705,47.346315,CUTOFF,0.5859614833069425
IREN.US,C_MARKET,2026-04-15,False,47.81161,48.795590000000004,CUTOFF,2.0580356946775114
IREN.US,C_MARKET,2026-04-22,True,48.442555,48.365805,CUTOFF,-0.15843507841400395
IREN.US,C_MARKET,2026-04-23,False,49.924775000000004,52.883545000000005,TP,5.926456353583969
TSLL.US,A_OLD,2024-11-05,True,12.056025,11.9730105,CUTOFF,-0.6885727260850976
TSLL.US,A_OLD,2024-11-07,True,15.667829999999999,16.611690000000003,TP,6.024190969649303
TSLL.US,A_OLD,2024-11-15,True,18.22911,18.7056425,CUTOFF,2.6141292690647058
TSLL.US,A_OLD,2024-11-19,True,20.750369999999997,21.60919,CUTOFF,4.138817765659144
TSLL.US,A_OLD,2024-11-22,False,21.335662499999998,22.5637125,TP,5.755855952445833
TSLL.US,A_OLD,2024-11-29,True,20.69034,21.349320000000002,EOD,3.184964577672495
TSLL.US,A_OLD,2024-12-02,False,23.061525,22.818585,CUTOFF,-1.0534429097815554
TSLL.US,A_OLD,2024-12-04,False,22.35117,22.88855,CUTOFF,2.4042589269376005
TSLL.US,A_OLD,2024-12-06,False,25.442715,26.936524999999996,TP,5.87126806239034
TSLL.US,A_OLD,2024-12-11,False,30.23511,31.964010000000002,CUTOFF,5.718186571836528
TSLL.US,A_OLD,2024-12-13,True,31.185585,32.93552400000001,TP,5.611371407655199
TSLL.US,A_OLD,2024-12-16,True,35.007495,37.36131,CUTOFF,6.723745872133965
TSLL.US,A_OLD,2024-12-18,True,38.2881345,40.886546499999994,TP,6.786468011388741
TSLL.US,A_OLD,2024-12-20,True,31.6548195,30.384800000000002,STOP,-4.012088901659972
TSLL.US,A_OLD,2025-01-03,True,25.33266,27.546220000000005,TP,8.737969088125782
TSLL.US,A_OLD,2025-01-13,True,25.022505,26.986500000000003,CUTOFF,7.84891440725061
TSLL.US,A_OLD,2025-01-15,True,28.364175,30.20489,CUTOFF,6.4895770809480595
TSLL.US,A_OLD,2025-01-17,True,29.984984999999998,29.895045000000003,CUTOFF,-0.29995012503756474
TSLL.US,A_OLD,2025-02-04,False,24.692339999999998,24.957515,CUTOFF,1.0739160403590864
TSLL.US,A_OLD,2025-02-13,True,19.579784999999998,20.259865,CUTOFF,3.4733782827544015
TSLL.US,A_OLD,2025-02-19,False,20.83041,20.719635,CUTOFF,-0.5317946214212792
TSLL.US,A_OLD,2025-03-14,False,9.2836395,9.215390000000001,CUTOFF,-0.7351588781533204
TSLL.US,A_OLD,2025-03-19,False,8.034014999999998,8.485755,TP,5.622842377068016
TSLL.US,A_OLD,2025-03-20,False,8.154075,7.886055,STOP,-3.2869454843130677
TSLL.US,A_OLD,2025-03-27,False,11.0055,10.61469,CUTOFF,-3.551042660487939
TSLL.US,A_OLD,2025-04-22,True,7.2036,7.386305,CUTOFF,2.53630129379755
TSLL.US,A_OLD,2025-04-24,True,8.424209999999999,8.73563,CUTOFF,3.6967264586234423
TSLL.US,A_OLD,2025-04-25,True,9.14457,9.895050000000003,TP,8.20683750028709
TSLL.US,A_OLD,2025-05-02,True,10.635315,10.564715000000001,CUTOFF,-0.6638261302086388
TSLL.US,A_OLD,2025-05-08,False,10.50525,10.364815,CUTOFF,-1.3368077865828998
TSLL.US,A_OLD,2025-05-13,False,13.126559999999998,13.873059999999999,TP,5.686943113808958
TSLL.US,A_OLD,2025-05-14,False,15.097544999999998,15.242375000000001,CUTOFF,0.959295037703166
TSLL.US,A_OLD,2025-05-15,True,14.787389999999998,14.812590000000002,CUTOFF,0.17041546885558198
TSLL.US,A_OLD,2025-05-19,True,14.447219999999998,14.73263,CUTOFF,1.9755357778174794
TSLL.US,A_OLD,2025-05-21,False,15.087539999999999,14.754619000000002,STOP,-2.206595641171438
TSLL.US,A_OLD,2025-05-22,True,14.26713,15.13243,TP,6.064989945419994
TSLL.US,A_OLD,2025-05-23,False,14.417205,14.472760000000001,CUTOFF,0.38533821222630743
TSLL.US,A_OLD,2025-05-27,True,15.757874999999999,16.451770000000003,CUTOFF,4.40348079928293
TSLL.US,A_OLD,2025-06-03,True,15.14757,14.7276325,STOP,-2.7723093539095687
TSLL.US,A_OLD,2025-06-06,False,11.025509999999999,10.554720000000001,STOP,-4.270006557519765
TSLL.US,A_OLD,2025-06-10,True,12.006,12.67366,TP,5.561052806929865
TSLL.US,A_OLD,2025-06-12,False,13.006499999999999,12.482755500000001,STOP,-4.026790450928363
TSLL.US,A_OLD,2025-06-13,True,12.14607,12.933530000000003,TP,6.483249314387312
TSLL.US,A_OLD,2025-06-18,True,12.376184999999998,12.363815,CUTOFF,-0.09995002498748287
TSLL.US,A_OLD,2025-07-01,True,10.415205,10.53473,CUTOFF,1.1476010313767173
TSLL.US,A_OLD,2025-07-02,True,11.4057,11.57421,CUTOFF,1.477419185144281
