symbol,strategy,filled,phantom_rate_pct,win_rate,pf,cum_pct,max_dd,avg_pnl,recency_avg_pnl,recency_win_rate,recency_pf,last_90d_n,last_90d_pf,last_90d_cum_pct,last_180d_n,last_180d_pf,last_180d_cum_pct,n_tp,n_stop,composite_score,passes_filter,filter_fail_reasons
TSLZ.US,ORB5_Z,122,0.0,36.9,1.34,49.73,-27.6,0.414,0.212,32.2,1.18,29,1.13,2.88,37,1.1,1.97,3,70,0.205,True,
TSLZ.US,ORB15_VWAP,44,62.4,54.5,1.68,28.44,-9.58,0.612,0.498,54.6,1.46,9,2.39,11.14,10,1.72,7.7,7,9,0.602,True,
TSLZ.US,VWAP_PB,33,23.3,45.5,1.49,10.25,-8.62,0.312,0.506,48.0,2.16,5,1.96,2.3,7,1.76,2.3,13,16,0.414,True,
TSLZ.US,VWAP_MR,169,0.0,46.2,0.82,-22.26,-27.53,-0.134,-0.305,47.4,0.59,42,0.49,-16.19,53,0.68,-11.62,49,52,-0.245,False,近期PF<1.1|近半年PF<1.0
TSLZ.US,EMA_X,116,0.0,43.1,0.9,-10.78,-21.93,-0.08,-0.045,41.9,0.93,22,1.13,1.31,33,0.88,-2.53,33,45,-0.062,False,近期PF<1.1|近半年PF<1.0
TSLZ.US,DC20,88,38.9,45.5,1.2,10.91,-10.98,0.136,-0.012,44.1,0.98,14,1.26,1.24,19,0.83,-1.5,11,28,-0.002,False,近期PF<1.1|近半年PF<1.0
TSLZ.US,TTM_SQ,170,0.0,42.9,1.01,-1.17,-19.17,0.012,-0.148,38.6,0.75,42,0.64,-8.08,56,0.81,-5.56,35,73,-0.101,False,近期PF<1.1|近半年PF<1.0
TSLZ.US,ST_10_3,41,0.0,31.7,0.62,-11.58,-16.01,-0.289,-0.225,34.8,0.59,21,0.5,-5.9,26,0.47,-7.33,4,22,-0.255,False,近期PF<1.1|近半年PF<1.0
NVDS.US,ORB5_Z,53,0.0,26.4,1.22,7.95,-10.08,0.185,-0.148,28.1,0.79,3,0.35,-1.17,3,0.35,-1.17,1,36,-0.154,False,近期PF<1.1|近半年PF<1.0
NVDS.US,ORB15_VWAP,14,74.1,42.9,1.51,5.65,-5.18,0.432,-0.639,21.6,0.44,1,0.0,-1.59,1,0.0,-1.59,3,6,-0.71,False,成交<20|近期PF<1.1|近半年PF<1.0
NVDS.US,VWAP_PB,8,61.9,25.0,0.66,-1.44,-3.21,-0.177,-0.297,9.5,0.33,1,0.0,-0.43,1,0.0,-0.43,2,5,-0.313,False,成交<20|近期PF<1.1|近半年PF<1.0
NVDS.US,VWAP_MR,100,0.0,37.0,0.77,-10.32,-11.54,-0.103,-0.216,28.5,0.5,9,0.31,-2.77,9,0.31,-2.77,25,38,-0.221,False,近期PF<1.1|近半年PF<1.0
NVDS.US,EMA_X,42,0.0,38.1,0.69,-7.37,-8.01,-0.176,0.047,52.8,1.12,1,inf,0.69,1,inf,0.69,15,23,0.195,True,
NVDS.US,DC20,37,51.3,40.5,1.54,6.81,-5.36,0.186,0.268,56.3,2.17,1,inf,0.65,1,inf,0.65,9,14,0.366,True,
NVDS.US,TTM_SQ,77,0.0,36.4,0.77,-8.29,-14.92,-0.107,0.012,37.4,1.04,5,1.89,0.68,5,1.89,0.68,20,43,0.025,False,近期PF<1.1
NVDS.US,ST_10_3,33,0.0,51.5,1.45,5.55,-3.74,0.17,0.018,50.7,1.09,6,0.89,-0.11,6,0.89,-0.11,9,14,0.038,False,近期PF<1.1|近半年PF<1.0
SOXS.US,ORB5_Z,48,0.0,16.7,0.52,-30.91,-36.39,-0.725,-0.792,16.2,0.45,0,,,0,,,1,38,-0.541,False,近期PF<1.1
SOXS.US,ORB15_VWAP,12,72.1,33.3,0.42,-8.63,-8.93,-0.728,-0.762,31.0,0.41,0,,,0,,,1,4,-0.527,False,成交<20|近期PF<1.1
SOXS.US,VWAP_PB,7,46.2,28.6,0.94,-0.45,-3.88,-0.048,-0.328,23.0,0.64,0,,,0,,,1,5,-0.174,False,成交<20|近期PF<1.1
SOXS.US,VWAP_MR,73,0.0,42.5,0.53,-24.74,-27.74,-0.377,-0.329,44.4,0.54,0,,,0,,,17,26,-0.24,False,近期PF<1.1
SOXS.US,EMA_X,43,0.0,39.5,0.8,-8.42,-18.66,-0.184,-0.175,37.0,0.79,0,,,0,,,13,17,-0.124,False,近期PF<1.1
SOXS.US,DC20,25,47.9,44.0,1.35,5.11,-9.36,0.217,0.179,43.3,1.33,0,,,0,,,5,8,0.133,True,
SOXS.US,TTM_SQ,67,0.0,34.3,0.85,-8.93,-14.05,-0.121,-0.119,34.7,0.85,0,,,0,,,13,36,-0.084,False,近期PF<1.1
SOXS.US,ST_10_3,15,0.0,33.3,0.49,-10.96,-17.32,-0.724,-0.864,31.4,0.42,0,,,0,,,2,7,-0.577,False,成交<20|近期PF<1.1
HOOD.US,ORB5_Z,179,0.0,31.8,1.06,3.29,-32.85,0.053,-0.139,29.2,0.84,30,0.68,-8.59,57,0.68,-15.76,1,109,-0.142,False,近期PF<1.1|近半年PF<1.0
HOOD.US,ORB15_VWAP,28,83.4,46.4,0.76,-3.96,-10.13,-0.136,-0.462,37.9,0.35,5,0.45,-1.47,10,0.32,-5.25,1,5,-0.416,False,近期PF<1.1|近半年PF<1.0
HOOD.US,VWAP_PB,32,38.5,25.0,0.82,-3.19,-10.34,-0.094,-0.483,14.9,0.19,5,0.01,-2.95,11,0.01,-6.69,5,22,-0.443,False,近期PF<1.1|近半年PF<1.0
HOOD.US,VWAP_MR,219,0.0,51.6,0.98,-2.9,-11.97,-0.008,-0.008,50.8,0.98,33,0.99,-0.22,74,0.83,-4.71,62,61,-0.025,False,近期PF<1.1|近半年PF<1.0
HOOD.US,EMA_X,152,0.0,51.3,1.16,10.89,-14.43,0.075,-0.012,46.6,0.97,28,1.05,0.53,51,0.66,-9.05,46,59,-0.044,False,近期PF<1.1|近半年PF<1.0
HOOD.US,DC20,126,41.1,45.2,1.08,3.48,-14.86,0.033,0.142,48.9,1.43,21,1.41,2.85,38,1.48,5.66,15,43,0.122,True,
HOOD.US,TTM_SQ,234,0.0,43.2,0.87,-15.23,-21.31,-0.065,-0.055,47.9,0.87,41,0.76,-4.25,72,0.82,-5.44,37,108,-0.063,False,近期PF<1.1|近半年PF<1.0
HOOD.US,ST_10_3,60,0.0,43.3,0.83,-3.83,-7.25,-0.062,-0.068,41.7,0.83,2,1.02,0.01,6,0.69,-0.77,9,22,-0.085,False,近期PF<1.1|近半年PF<1.0
AMD.US,ORB5_Z,205,0.0,29.8,0.84,-24.81,-29.46,-0.122,-0.245,27.9,0.74,38,0.53,-18.29,76,0.75,-17.8,4,134,-0.217,False,近期PF<1.1|近半年PF<1.0
AMD.US,ORB15_VWAP,23,85.4,52.2,0.85,-1.74,-6.35,-0.071,0.423,73.4,2.59,4,inf,3.95,6,9.8,4.34,0,3,0.414,True,
AMD.US,VWAP_PB,26,46.9,19.2,0.39,-8.55,-9.2,-0.34,-0.245,27.2,0.57,5,1.03,0.05,10,0.58,-2.27,4,19,-0.259,False,近期PF<1.1|近半年PF<1.0
AMD.US,VWAP_MR,227,0.0,51.1,0.82,-14.2,-16.02,-0.064,-0.151,45.9,0.66,31,0.66,-4.92,71,0.6,-12.06,73,71,-0.139,False,近期PF<1.1|近半年PF<1.0
AMD.US,EMA_X,132,0.0,41.7,0.93,-3.8,-19.21,-0.025,0.15,52.3,1.47,25,2.95,10.93,42,1.42,5.28,30,54,0.108,True,
AMD.US,DC20,126,41.9,41.3,0.85,-6.3,-12.8,-0.049,0.068,43.6,1.19,22,1.4,3.29,39,1.11,1.28,11,46,0.034,True,
AMD.US,TTM_SQ,247,0.0,33.6,0.55,-37.76,-37.82,-0.189,-0.139,37.1,0.67,52,0.73,-6.03,87,0.66,-11.72,25,123,-0.148,False,近期PF<1.1|近半年PF<1.0
AMD.US,ST_10_3,61,0.0,36.1,1.17,2.41,-8.04,0.042,0.38,49.1,2.96,15,4.25,8.93,27,3.45,10.6,9,22,0.316,True,
EOSE.US,ORB5_Z,152,0.0,30.3,1.19,33.01,-45.72,0.291,0.3,27.4,1.19,21,1.23,5.75,45,0.86,-13.39,2,101,0.119,False,近半年PF<1.0
EOSE.US,ORB15_VWAP,30,75.4,46.7,1.16,4.28,-16.7,0.187,1.67,74.8,3.93,4,inf,13.85,8,4.35,14.04,4,10,1.399,True,
EOSE.US,VWAP_PB,32,44.8,46.9,1.52,14.93,-9.81,0.47,0.431,50.0,1.57,4,1.78,1.83,12,1.01,-0.15,13,16,0.306,True,
EOSE.US,VWAP_MR,254,0.0,44.5,0.78,-34.71,-44.19,-0.156,-0.344,43.1,0.57,40,0.64,-10.18,82,0.57,-24.08,61,77,-0.291,False,近期PF<1.1|近半年PF<1.0
EOSE.US,EMA_X,140,0.0,42.9,0.9,-13.14,-25.76,-0.085,-0.011,43.4,0.99,19,0.94,-1.15,40,0.91,-3.69,43,64,-0.05,False,近期PF<1.1|近半年PF<1.0
