ticker,sector,rank,entry,cta,exit,score,win_rate,ret_1m,ret_3m,ret_ytd,cagr_1y,dd_1y
ALB,🔋 电池/稀土,2,dc20+cmf,smh,ema_x,2.76,64.3,19.2,14.1,40.2,161.8,-20.1
ALB,🔋 电池/稀土,3,rsi35,combo,rsi80,2.68,78.9,0.9,19.1,19.1,48.9,-6.5
KLAC,⚡ 半导体/AI算力,1,bb_lo,none,rsi_fade,2.82,82.8,12.7,24.0,37.8,85.8,-11.7
KLAC,⚡ 半导体/AI算力,2,ema2060,smh,ma_x,2.82,73.8,20.9,16.1,47.6,118.5,-22.4
KLAC,⚡ 半导体/AI算力,3,rsi35,soxx,rsi80,2.73,86.1,0.0,24.0,24.0,48.5,-1.0
ITT,🏭 工业/航天制造,1,vol_surge,none,rsi80,2.82,71.2,17.2,21.7,28.4,57.9,-13.1
ITT,🏭 工业/航天制造,2,bb_lo,smh,rsi_fade,2.69,88.5,13.6,10.1,15.3,62.3,-6.7
ITT,🏭 工业/航天制造,3,mfi_os,spy,rsi70,2.65,73.5,10.1,9.0,9.0,29.1,-3.8
ASML,⚡ 半导体/AI算力,1,bb_lo,smh,trail_12,2.81,67.4,15.2,20.6,20.6,30.1,-4.1
ASML,⚡ 半导体/AI算力,2,ema20_dip,spy,ma_x,2.67,68.8,7.7,9.8,36.6,98.3,-17.9
ASML,⚡ 半导体/AI算力,3,mfi_os,none,rsi80,2.57,78.8,0.0,9.1,9.1,20.7,-5.3
HOOD,🪙 加密/Fintech,1,dc20,combo,trail_12,2.81,71.4,14.6,14.6,14.6,177.2,-13.6
HOOD,🪙 加密/Fintech,2,dc20+obv,combo,rsi_fade,2.79,70.0,14.6,14.6,14.6,137.3,-16.1
HOOD,🪙 加密/Fintech,3,rsi28,smh,ma_x,2.5,71.4,0.0,0.0,0.0,40.3,-10.1
ARM,⚡ 半导体/AI算力,1,obv_up,smh,rsi80,2.79,75.0,26.7,49.1,49.1,127.9,-26.4
ARM,⚡ 半导体/AI算力,2,ema_cross,soxx,rsi_fade,1.8,50.0,25.8,25.8,25.8,15.8,-12.8
ARM,⚡ 半导体/AI算力,3,mfi_os,soxx,rsi80,0.86,77.8,0.0,14.1,9.7,8.1,-9.6
CAT,🏭 工业/航天制造,1,vol+ema,smh,ma_x,2.79,60.0,14.6,23.1,39.0,81.9,-13.9
CAT,🏭 工业/航天制造,2,ema20_dip+obv,none,ma_x,2.79,54.8,14.6,23.1,39.0,101.9,-13.9
CAT,🏭 工业/航天制造,3,bb_lo,none,rsi80,1.63,69.7,5.1,6.9,6.9,18.4,-7.2
AMD,⚡ 半导体/AI算力,1,ema_cross,soxx,cmf_neg,2.76,53.8,17.5,17.5,20.8,20.8,-0.1
AMD,⚡ 半导体/AI算力,2,dc20|ema,combo,rsi_fade,2.66,55.2,24.1,28.7,32.5,99.3,-25.8
AMD,⚡ 半导体/AI算力,3,mfi_os,soxx,rsi70,2.43,85.4,2.8,16.2,16.2,23.2,-6.9
ODFL,🚚 物流/运输,1,bb_lo,none,ma_x,2.75,63.8,13.5,17.4,17.4,18.4,-3.5
ODFL,🚚 物流/运输,2,dc20,soxx,ema_x,2.13,55.6,19.3,22.4,39.1,42.3,-18.5
ODFL,🚚 物流/运输,3,rsi35,soxx,rsi70,1.64,77.2,3.4,10.0,10.0,13.7,-8.9
JBHT,🚚 物流/运输,1,vol_surge,qqq,ema_x,2.74,42.1,24.0,18.9,26.4,61.9,-15.9
JBHT,🚚 物流/运输,2,bb_lo,spy,rsi_fade,2.58,75.9,13.5,5.0,5.0,41.9,-9.1
JBHT,🚚 物流/运输,3,rsi28,none,rsi80,1.62,74.0,7.1,5.0,5.0,11.9,-7.6
